Suspicious Links pointing to Home.dc.html:
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Bagmati Province | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Newari Fine Dining | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Newari Fine Dining | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Heritage Dining | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Cultural Show | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Visit Website | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Directions | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Save | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: View full menu → | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: View all → | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: 📷 Add your photos | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Anuja Shrestha | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: 👍 Helpful (28) | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Flag | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Rajan Gurung | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: 👍 Helpful (12) | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Flag | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Sumitra KC | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: 👍 Helpful (8) | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Flag | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: www.newalahana.com | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: reservations@newalahana.com | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Inacho | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Taumadhi | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Fine Dining | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Heritage Dining | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Cultural Show | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Newari | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Heritage | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Slow Food | Href: Home.dc.html
File: c:\Users\amrit\Downloads\NepaliDirectory page claude\Business Detail.dc.html | Text: Get Directions → | Href: Home.dc.html
